inout_travelling,operator,network_type,rating,calldrop_category,latitude,longitude,state_name,month,year
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA ,12,2021
Travelling,Airtel,4G,4,Satisfactory,-1.0,-1.0,NA ,12,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,10,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,10,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,10,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,10,2021
Travelling,Airtel,4G,5,Satisfactory,12.61864922,75.24985193,Karnataka,9,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,7,2021
Travelling,Airtel,4G,4,Satisfactory,-1.0,-1.0,NA,6,2021
Travelling,Airtel,4G,3,Satisfactory,28.62922516,77.05367859,Delhi,7,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,7,2021
Travelling,Airtel,4G,2,Poor Voice Quality,16.5469921,81.5556854,Andhra Pradesh,5,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,3,Satisfactory,16.54409646,81.52613748,Andhra Pradesh,4,2021
Travelling,Airtel,4G,1,Poor Voice Quality,29.2969023,73.8994228,Rajasthan,11,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA ,11,2021
Travelling,Airtel,4G,4,Satisfactory,13.93679921,75.54799104,Karnataka,11,2021
Travelling,Airtel,4G,1,Poor Voice Quality,29.29679366,73.90213109,Rajasthan,11,2021
Travelling,Airtel,4G,5,Satisfactory,23.32721,77.80719333,Madhya Pradesh,11,2021
Travelling,Airtel,4G,5,Satisfactory,23.32721,77.80719333,Madhya Pradesh,11,2021
Travelling,Airtel,4G,5,Satisfactory,23.33025833,77.789635,Madhya Pradesh,11,2021
Travelling,Airtel,4G,2,Poor Voice Quality,-1.0,-1.0,NA,10,2021
Travelling,Airtel,4G,4,Satisfactory,-1.0,-1.0,NA,10,2021
Travelling,Airtel,4G,1,Call Dropped,23.30626167,77.87196833,Madhya Pradesh,10,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA ,12,2021
Travelling,Airtel,4G,4,Satisfactory,-1.0,-1.0,NA ,12,2021
Travelling,Airtel,4G,1,Call Dropped,-1.0,-1.0,NA ,12,2021
Travelling,Airtel,4G,3,Poor Voice Quality,-1.0,-1.0,NA ,12,2021
Travelling,Airtel,4G,3,Satisfactory,28.61471369,77.12492691,Delhi,5,2021
Travelling,Airtel,4G,3,Satisfactory,16.5467827,81.555798,Andhra Pradesh,6,2021
Travelling,Airtel,4G,4,Satisfactory,-1.0,-1.0,NA,6,2021
Travelling,Airtel,4G,3,Satisfactory,28.61452812,77.12484843,Delhi,6,2021
Travelling,Airtel,4G,4,Satisfactory,-1.0,-1.0,NA,6,2021
Travelling,Airtel,4G,3,Satisfactory,16.5467768,81.5558009,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,16.5451704,81.5529952,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,16.5467826,81.5557993,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,16.5467979,81.5557838,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,16.5467985,81.5557837,Andhra Pradesh,6,2021
Travelling,Airtel,4G,4,Satisfactory,18.507755,73.79696333,Maharashtra,6,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,9,2021
Travelling,Airtel,4G,1,Call Dropped,-1.0,-1.0,NA,9,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,9,2021
